department,year,rd_budget,total_outlays,discretionary_outlays,gdp
DOD,1976,35696000000,371800000000,175600000000,1790000000000
NASA,1976,12513000000,371800000000,175600000000,1790000000000
DOE,1976,10882000000,371800000000,175600000000,1790000000000
HHS,1976,9226000000,371800000000,175600000000,1790000000000
NIH,1976,8025000000,371800000000,175600000000,1790000000000
NSF,1976,2372000000,371800000000,175600000000,1790000000000
USDA,1976,1837000000,371800000000,175600000000,1790000000000
Interior,1976,1152000000,371800000000,175600000000,1790000000000
DOT,1976,1142000000,371800000000,175600000000,1790000000000
EPA,1976,968000000,371800000000,175600000000,1790000000000
DOC,1976,819000000,371800000000,175600000000,1790000000000
DHS,1976,0,371800000000,175600000000,1790000000000
VA,1976,404000000,371800000000,175600000000,1790000000000
Other,1976,1191000000,371800000000,175600000000,1790000000000
DOD,1977,37967000000,409200000000,197100000000,2028000000000
NASA,1977,12553000000,409200000000,197100000000,2028000000000
DOE,1977,13741000000,409200000000,197100000000,2028000000000
HHS,1977,9507000000,409200000000,197100000000,2028000000000
NIH,1977,8214000000,409200000000,197100000000,2028000000000
NSF,1977,2395000000,409200000000,197100000000,2028000000000
USDA,1977,1796000000,409200000000,197100000000,2028000000000
Interior,1977,1082000000,409200000000,197100000000,2028000000000
DOT,1977,1095000000,409200000000,197100000000,2028000000000
EPA,1977,966000000,409200000000,197100000000,2028000000000
DOC,1977,837000000,409200000000,197100000000,2028000000000
DHS,1977,0,409200000000,197100000000,2028000000000
VA,1977,374000000,409200000000,197100000000,2028000000000
Other,1977,1280000000,409200000000,197100000000,2028000000000
DOD,1978,37022000000,458700000000,218700000000,2278000000000
NASA,1978,12516000000,458700000000,218700000000,2278000000000
DOE,1978,15663000000,458700000000,218700000000,2278000000000
HHS,1978,10533000000,458700000000,218700000000,2278000000000
NIH,1978,8802000000,458700000000,218700000000,2278000000000
NSF,1978,2446000000,458700000000,218700000000,2278000000000
USDA,1978,1962000000,458700000000,218700000000,2278000000000
Interior,1978,1125000000,458700000000,218700000000,2278000000000
DOT,1978,1156000000,458700000000,218700000000,2278000000000
EPA,1978,1175000000,458700000000,218700000000,2278000000000
DOC,1978,871000000,458700000000,218700000000,2278000000000
DHS,1978,0,458700000000,218700000000,2278000000000
VA,1978,356000000,458700000000,218700000000,2278000000000
Other,1978,1237000000,458700000000,218700000000,2278000000000
DOD,1979,37174000000,504000000000,240000000000,2570000000000
NASA,1979,13079000000,504000000000,240000000000,2570000000000
DOE,1979,15612000000,504000000000,240000000000,2570000000000
HHS,1979,10127000000,504000000000,240000000000,2570000000000
NIH,1979,9243000000,504000000000,240000000000,2570000000000
NSF,1979,2404000000,504000000000,240000000000,2570000000000
USDA,1979,2054000000,504000000000,240000000000,2570000000000
Interior,1979,1176000000,504000000000,240000000000,2570000000000
DOT,1979,1004000000,504000000000,240000000000,2570000000000
EPA,1979,1102000000,504000000000,240000000000,2570000000000
DOC,1979,952000000,504000000000,240000000000,2570000000000
DHS,1979,0,504000000000,240000000000,2570000000000
VA,1979,353000000,504000000000,240000000000,2570000000000
Other,1979,2321000000,504000000000,240000000000,2570000000000
DOD,1980,37005000000,590900000000,276300000000,2797000000000
NASA,1980,13837000000,590900000000,276300000000,2797000000000
DOE,1980,15226000000,590900000000,276300000000,2797000000000
HHS,1980,10045000000,590900000000,276300000000,2797000000000
NIH,1980,9093000000,590900000000,276300000000,2797000000000
NSF,1980,2407000000,590900000000,276300000000,2797000000000
USDA,1980,1887000000,590900000000,276300000000,2797000000000
Interior,1980,1082000000,590900000000,276300000000,2797000000000
DOT,1980,1048000000,590900000000,276300000000,2797000000000
EPA,1980,903000000,590900000000,276300000000,2797000000000
DOC,1980,945000000,590900000000,276300000000,2797000000000
DHS,1980,0,590900000000,276300000000,2797000000000
VA,1980,359000000,590900000000,276300000000,2797000000000
Other,1980,2468000000,590900000000,276300000000,2797000000000
DOD,1981,41737000000,678200000000,307900000000,3138000000000
NASA,1981,13276000000,678200000000,307900000000,3138000000000
DOE,1981,14798000000,678200000000,307900000000,3138000000000
HHS,1981,9644000000,678200000000,307900000000,3138000000000
NIH,1981,8580000000,678200000000,307900000000,3138000000000
NSF,1981,2300000000,678200000000,307900000000,3138000000000
USDA,1981,1964000000,678200000000,307900000000,3138000000000
Interior,1981,990000000,678200000000,307900000000,3138000000000
DOT,1981,978000000,678200000000,307900000000,3138000000000
EPA,1981,901000000,678200000000,307900000000,3138000000000
DOC,1981,829000000,678200000000,307900000000,3138000000000
DHS,1981,0,678200000000,307900000000,3138000000000
VA,1981,382000000,678200000000,307900000000,3138000000000
Other,1981,1925000000,678200000000,307900000000,3138000000000
DOD,1982,46893000000,745700000000,325900000000,3314000000000
NASA,1982,10322000000,745700000000,325900000000,3314000000000
DOE,1982,12160000000,745700000000,325900000000,3314000000000
HHS,1982,8860000000,745700000000,325900000000,3314000000000
NIH,1982,8314000000,745700000000,325900000000,3314000000000
NSF,1982,2191000000,745700000000,325900000000,3314000000000
USDA,1982,1867000000,745700000000,325900000000,3314000000000
Interior,1982,866000000,745700000000,325900000000,3314000000000
DOT,1982,702000000,745700000000,325900000000,3314000000000
EPA,1982,641000000,745700000000,325900000000,3314000000000
DOC,1982,693000000,745700000000,325900000000,3314000000000
DHS,1982,0,745700000000,325900000000,3314000000000
VA,1982,313000000,745700000000,325900000000,3314000000000
Other,1982,1626000000,745700000000,325900000000,3314000000000
DOD,1983,51008000000,808400000000,353300000000,3541000000000
NASA,1983,5893000000,808400000000,353300000000,3541000000000
DOE,1983,11129000000,808400000000,353300000000,3541000000000
HHS,1983,9418000000,808400000000,353300000000,3541000000000
NIH,1983,8733000000,808400000000,353300000000,3541000000000
NSF,1983,2282000000,808400000000,353300000000,3541000000000
USDA,1983,1907000000,808400000000,353300000000,3541000000000
Interior,1983,835000000,808400000000,353300000000,3541000000000
DOT,1983,800000000,808400000000,353300000000,3541000000000
EPA,1983,501000000,808400000000,353300000000,3541000000000
DOC,1983,700000000,808400000000,353300000000,3541000000000
DHS,1983,0,808400000000,353300000000,3541000000000
VA,1983,347000000,808400000000,353300000000,3541000000000
Other,1983,1457000000,808400000000,353300000000,3541000000000
DOD,1984,58139000000,851800000000,379400000000,3953000000000
NASA,1984,6231000000,851800000000,379400000000,3953000000000
DOE,1984,11731000000,851800000000,379400000000,3953000000000
HHS,1984,10145000000,851800000000,379400000000,3953000000000
NIH,1984,9620000000,851800000000,379400000000,3953000000000
NSF,1984,2597000000,851800000000,379400000000,3953000000000
USDA,1984,2032000000,851800000000,379400000000,3953000000000
Interior,1984,757000000,851800000000,379400000000,3953000000000
DOT,1984,1018000000,851800000000,379400000000,3953000000000
EPA,1984,518000000,851800000000,379400000000,3953000000000
DOC,1984,755000000,851800000000,379400000000,3953000000000
DHS,1984,0,851800000000,379400000000,3953000000000
VA,1984,410000000,851800000000,379400000000,3953000000000
Other,1984,1418000000,851800000000,379400000000,3953000000000
DOD,1985,64416000000,946300000000,415800000000,4270000000000
NASA,1985,7174000000,946300000000,415800000000,4270000000000
DOE,1985,12043000000,946300000000,415800000000,4270000000000
HHS,1985,11083000000,946300000000,415800000000,4270000000000
NIH,1985,10606000000,946300000000,415800000000,4270000000000
NSF,1985,2859000000,946300000000,415800000000,4270000000000
USDA,1985,2018000000,946300000000,415800000000,4270000000000
Interior,1985,783000000,946300000000,415800000000,4270000000000
DOT,1985,885000000,946300000000,415800000000,4270000000000
EPA,1985,615000000,946300000000,415800000000,4270000000000
DOC,1985,789000000,946300000000,415800000000,4270000000000
DHS,1985,0,946300000000,415800000000,4270000000000
VA,1985,431000000,946300000000,415800000000,4270000000000
Other,1985,1116000000,946300000000,415800000000,4270000000000
DOD,1986,68931000000,990400000000,438500000000,4536000000000
NASA,1986,7343000000,990400000000,438500000000,4536000000000
DOE,1986,10911000000,990400000000,438500000000,4536000000000
HHS,1986,11133000000,990400000000,438500000000,4536000000000
NIH,1986,10659000000,990400000000,438500000000,4536000000000
NSF,1986,2757000000,990400000000,438500000000,4536000000000
USDA,1986,1890000000,990400000000,438500000000,4536000000000
Interior,1986,755000000,990400000000,438500000000,4536000000000
DOT,1986,746000000,990400000000,438500000000,4536000000000
EPA,1986,637000000,990400000000,438500000000,4536000000000
DOC,1986,778000000,990400000000,438500000000,4536000000000
DHS,1986,0,990400000000,438500000000,4536000000000
VA,1986,365000000,990400000000,438500000000,4536000000000
Other,1986,1326000000,990400000000,438500000000,4536000000000
DOD,1987,71541000000,1004000000000,444100000000,4782000000000
NASA,1987,8346000000,1004000000000,444100000000,4782000000000
DOE,1987,10446000000,1004000000000,444100000000,4782000000000
HHS,1987,12847000000,1004000000000,444100000000,4782000000000
NIH,1987,12335000000,1004000000000,444100000000,4782000000000
NSF,1987,2942000000,1004000000000,444100000000,4782000000000
USDA,1987,2104000000,1004000000000,444100000000,4782000000000
Interior,1987,786000000,1004000000000,444100000000,4782000000000
DOT,1987,595000000,1004000000000,444100000000,4782000000000
EPA,1987,664000000,1004000000000,444100000000,4782000000000
DOC,1987,804000000,1004000000000,444100000000,4782000000000
DHS,1987,0,1004000000000,444100000000,4782000000000
VA,1987,430000000,1004000000000,444100000000,4782000000000
Other,1987,1474000000,1004000000000,444100000000,4782000000000
DOD,1988,71145000000,1064400000000.0001,464400000000,5155000000000
NASA,1988,8746000000,1064400000000.0001,464400000000,5155000000000
DOE,1988,10863000000,1064400000000.0001,464400000000,5155000000000
HHS,1988,13470000000,1064400000000.0001,464400000000,5155000000000
NIH,1988,12909000000,1064400000000.0001,464400000000,5155000000000
NSF,1988,2962000000,1064400000000.0001,464400000000,5155000000000
USDA,1988,2085000000,1064400000000.0001,464400000000,5155000000000
Interior,1988,794000000,1064400000000.0001,464400000000,5155000000000
DOT,1988,587000000,1064400000000.0001,464400000000,5155000000000
EPA,1988,698000000,1064400000000.0001,464400000000,5155000000000
DOC,1988,764000000,1064400000000.0001,464400000000,5155000000000
DHS,1988,0,1064400000000.0001,464400000000,5155000000000
VA,1988,368000000,1064400000000.0001,464400000000,5155000000000
Other,1988,1409000000,1064400000000.0001,464400000000,5155000000000
DOD,1989,69231000000,1143700000000,488800000000,5570000000000
NASA,1989,10623000000,1143700000000,488800000000,5570000000000
DOE,1989,11225000000,1143700000000,488800000000,5570000000000
HHS,1989,14291000000,1143700000000,488800000000,5570000000000
NIH,1989,13550000000,1143700000000,488800000000,5570000000000
NSF,1989,3162000000,1143700000000,488800000000,5570000000000
USDA,1989,2044000000,1143700000000,488800000000,5570000000000
Interior,1989,861000000,1143700000000,488800000000,5570000000000
DOT,1989,586000000,1143700000000,488800000000,5570000000000
EPA,1989,713000000,1143700000000,488800000000,5570000000000
DOC,1989,766000000,1143700000000,488800000000,5570000000000
DHS,1989,0,1143700000000,488800000000,5570000000000
VA,1989,391000000,1143700000000,488800000000,5570000000000
Other,1989,1469000000,1143700000000,488800000000,5570000000000
DOD,1990,65589000000,1253000000000,500500000000,5915000000000
NASA,1990,12317000000,1253000000000,500500000000,5915000000000
DOE,1990,12103000000,1253000000000,500500000000,5915000000000
HHS,1990,14779000000,1253000000000,500500000000,5915000000000
NIH,1990,14042000000,1253000000000,500500000000,5915000000000
NSF,1990,2994000000,1253000000000,500500000000,5915000000000
USDA,1990,2119000000,1253000000000,500500000000,5915000000000
Interior,1990,919000000,1253000000000,500500000000,5915000000000
DOT,1990,613000000,1253000000000,500500000000,5915000000000
EPA,1990,735000000,1253000000000,500500000000,5915000000000
DOC,1990,784000000,1253000000000,500500000000,5915000000000
DHS,1990,0,1253000000000,500500000000,5915000000000
VA,1990,378000000,1253000000000,500500000000,5915000000000
Other,1990,1754000000,1253000000000,500500000000,5915000000000
DOD,1991,62238000000,1324200000000,533299999999.99994,6110000000000
NASA,1991,13589000000,1324200000000,533299999999.99994,6110000000000
DOE,1991,12275000000,1324200000000,533299999999.99994,6110000000000
HHS,1991,16001000000,1324200000000,533299999999.99994,6110000000000
NIH,1991,15016000000,1324200000000,533299999999.99994,6110000000000
NSF,1991,3167000000,1324200000000,533299999999.99994,6110000000000
USDA,1991,2327000000,1324200000000,533299999999.99994,6110000000000
Interior,1991,1037000000,1324200000000,533299999999.99994,6110000000000
DOT,1991,688000000,1324200000000,533299999999.99994,6110000000000
EPA,1991,768000000,1324200000000,533299999999.99994,6110000000000
DOC,1991,898000000,1324200000000,533299999999.99994,6110000000000
DHS,1991,0,1324200000000,533299999999.99994,6110000000000
VA,1991,375000000,1324200000000,533299999999.99994,6110000000000
Other,1991,1629000000,1324200000000,533299999999.99994,6110000000000
DOD,1992,61682000000,1381500000000,533799999999.99994,6435000000000
NASA,1992,13950000000,1381500000000,533799999999.99994,6435000000000
DOE,1992,13280000000,1381500000000,533799999999.99994,6435000000000
HHS,1992,16621000000,1381500000000,533799999999.99994,6435000000000
NIH,1992,15714000000,1381500000000,533799999999.99994,6435000000000
NSF,1992,3219000000,1381500000000,533799999999.99994,6435000000000
USDA,1992,2480000000,1381500000000,533799999999.99994,6435000000000
Interior,1992,1050000000,1381500000000,533799999999.99994,6435000000000
DOT,1992,1014000000,1381500000000,533799999999.99994,6435000000000
EPA,1992,804000000,1381500000000,533799999999.99994,6435000000000
DOC,1992,952000000,1381500000000,533799999999.99994,6435000000000
DHS,1992,0,1381500000000,533799999999.99994,6435000000000
VA,1992,407000000,1381500000000,533799999999.99994,6435000000000
Other,1992,1999000000,1381500000000,533799999999.99994,6435000000000
DOD,1993,61956000000,1409400000000,539700000000.00006,6795000000000
NASA,1993,14058000000,1409400000000,539700000000.00006,6795000000000
DOE,1993,11872000000,1409400000000,539700000000.00006,6795000000000
HHS,1993,16702000000,1409400000000,539700000000.00006,6795000000000
NIH,1993,15774000000,1409400000000,539700000000.00006,6795000000000
NSF,1993,3211000000,1409400000000,539700000000.00006,6795000000000
USDA,1993,2339000000,1409400000000,539700000000.00006,6795000000000
Interior,1993,1035000000,1409400000000,539700000000.00006,6795000000000
DOT,1993,990000000,1409400000000,539700000000.00006,6795000000000
EPA,1993,792000000,1409400000000,539700000000.00006,6795000000000
DOC,1993,1265000000,1409400000000,539700000000.00006,6795000000000
DHS,1993,0,1409400000000,539700000000.00006,6795000000000
VA,1993,403000000,1409400000000,539700000000.00006,6795000000000
Other,1993,1683000000,1409400000000,539700000000.00006,6795000000000
DOD,1994,55423000000,1461800000000,541400000000,7198000000000
NASA,1994,14680000000,1461800000000,541400000000,7198000000000
DOE,1994,10568000000,1461800000000,541400000000,7198000000000
HHS,1994,17674000000,1461800000000,541400000000,7198000000000
NIH,1994,16347000000,1461800000000,541400000000,7198000000000
NSF,1994,3500000000,1461800000000,541400000000,7198000000000
USDA,1994,2385000000,1461800000000,541400000000,7198000000000
Interior,1994,1104000000,1461800000000,541400000000,7198000000000
DOT,1994,1000000000,1461800000000,541400000000,7198000000000
EPA,1994,918000000,1461800000000,541400000000,7198000000000
DOC,1994,1595000000,1461800000000,541400000000,7198000000000
DHS,1994,0,1461800000000,541400000000,7198000000000
VA,1994,432000000,1461800000000,541400000000,7198000000000
Other,1994,1652000000,1461800000000,541400000000,7198000000000
DOD,1995,54026000000,1515700000000,544799999999.99994,7583000000000
NASA,1995,14457000000,1515700000000,544799999999.99994,7583000000000
DOE,1995,9806000000,1515700000000,544799999999.99994,7583000000000
HHS,1995,17602000000,1515700000000,544799999999.99994,7583000000000
NIH,1995,16448000000,1515700000000,544799999999.99994,7583000000000
NSF,1995,3662000000,1515700000000,544799999999.99994,7583000000000
USDA,1995,2273000000,1515700000000,544799999999.99994,7583000000000
Interior,1995,1021000000,1515700000000,544799999999.99994,7583000000000
DOT,1995,1018000000,1515700000000,544799999999.99994,7583000000000
EPA,1995,847000000,1515700000000,544799999999.99994,7583000000000
DOC,1995,1709000000,1515700000000,544799999999.99994,7583000000000
DHS,1995,0,1515700000000,544799999999.99994,7583000000000
VA,1995,402000000,1515700000000,544799999999.99994,7583000000000
Other,1995,1612000000,1515700000000,544799999999.99994,7583000000000
DOD,1996,53688000000,1560500000000,532799999999.99994,7978000000000
NASA,1996,14152000000,1560500000000,532799999999.99994,7978000000000
DOE,1996,9412000000,1560500000000,532799999999.99994,7978000000000
HHS,1996,18054000000,1560500000000,532799999999.99994,7978000000000
NIH,1996,17141000000,1560500000000,532799999999.99994,7978000000000
NSF,1996,3588000000,1560500000000,532799999999.99994,7978000000000
USDA,1996,2232000000,1560500000000,532799999999.99994,7978000000000
Interior,1996,857000000,1560500000000,532799999999.99994,7978000000000
DOT,1996,902000000,1560500000000,532799999999.99994,7978000000000
EPA,1996,724000000,1560500000000,532799999999.99994,7978000000000
DOC,1996,1488000000,1560500000000,532799999999.99994,7978000000000
DHS,1996,0,1560500000000,532799999999.99994,7978000000000
VA,1996,395000000,1560500000000,532799999999.99994,7978000000000
Other,1996,1345000000,1560500000000,532799999999.99994,7978000000000
DOD,1997,54903000000,1601100000000,547100000000,8483000000000
NASA,1997,13788000000,1601100000000,547100000000,8483000000000
